location,area_sqft,bedrooms,bathrooms,stories,age_years,garage,balcony,basement,nearby_school_score,crime_rate,property_type,price
Lakeview,2118,1,1,1,7,0,0,0,5.79,0.93,Apartment,796750.71
Lakeview,2181,4,1,1,2,1,0,0,6.49,0.16,Apartment,879009.16
Downtown,1842,4,2,3,30,0,1,0,9.6,0.31,Apartment,962015.22
Suburban,2340,3,3,3,38,1,1,0,9.82,0.82,Condo,1008567.26
Uptown,1671,1,1,1,34,0,1,0,6.14,1.06,Apartment,689620.15
Hillview,2380,3,1,1,12,0,1,1,9.4,0.8,Villa,1018990.81
Downtown,2404,5,2,3,14,0,1,1,5.69,0.57,Condo,1043972.68
Downtown,496,2,3,2,14,1,1,0,8.81,0.12,Villa,706183.31
Old Town,2755,3,1,2,28,1,1,1,5.07,1.19,Condo,874448.6
Hillview,424,3,1,3,24,1,0,1,7.03,0.77,Villa,706976.86
Suburban,1761,2,2,2,31,2,1,1,6.24,0.83,Villa,815317.7
Suburban,2664,3,2,3,37,1,1,1,8.52,0.73,Condo,1019042.15
Downtown,1925,3,3,2,15,0,1,0,5.08,0.43,Townhouse,874120.78
Old Town,1294,3,1,2,26,2,1,1,7.32,0.45,Apartment,737455.42
Downtown,1498,4,1,1,20,2,0,1,8.48,0.14,Townhouse,858140.79
Hillview,2665,3,2,2,38,1,0,0,5.23,1.08,Condo,932511.87
Old Town,1043,1,2,3,14,0,0,0,9.49,0.44,Condo,719143.66
Old Town,2721,1,3,2,7,2,0,1,6.81,0.48,Apartment,981834.63
Hillview,2070,3,2,1,15,2,0,1,5.83,1.49,Apartment,867266.11
Old Town,1444,5,2,2,24,1,1,0,6.13,0.61,Townhouse,800673.02
Uptown,1779,1,1,3,38,0,0,1,6.69,0.79,Townhouse,802836.23
Uptown,1541,1,1,3,33,0,1,1,5.99,0.61,Townhouse,784729.95
Lakeview,2576,4,3,2,0,0,1,1,7.55,0.47,Villa,1150496.69
Uptown,2503,3,1,3,20,0,1,0,8.16,0.06,Condo,1007813.06
Old Town,1154,2,2,1,6,0,0,0,7.17,1.29,Townhouse,551110.16
Old Town,1878,2,3,2,14,1,0,1,7.14,0.74,Condo,793964.95
Suburban,1625,4,3,2,37,0,1,1,8.91,1.09,Villa,884300.65
Hillview,2811,3,1,1,39,0,1,1,6.51,1.44,Condo,899091.93
Downtown,1357,4,1,3,6,2,1,0,8.11,0.05,Apartment,872107.92
Lakeview,2982,2,3,3,5,2,0,0,9.46,1.03,Townhouse,1214982.51
Uptown,2082,3,3,1,27,0,0,0,6.11,0.22,Townhouse,905846.35
Downtown,1461,5,1,1,16,2,0,0,8.1,0.71,Villa,875275.99
Uptown,1727,2,2,3,17,2,1,1,9.74,1.28,Apartment,913519.83
Downtown,1659,2,1,3,34,1,1,0,7.65,0.15,Condo,822761.3
Uptown,1399,1,3,3,36,1,0,0,9.88,1.48,Apartment,816170.07
Downtown,2152,4,3,1,36,1,0,1,6.55,0.89,Villa,928898.72
Old Town,1425,1,1,3,31,0,1,1,7.82,0.62,Apartment,674682.62
Hillview,901,2,2,3,39,1,1,1,6.56,0.08,Villa,782923.86
Uptown,1891,4,2,3,28,2,1,1,5.02,0.9,Condo,968446.52
Riverside,1108,1,1,3,35,1,0,1,9.99,0.77,Townhouse,769975.03
Lakeview,1686,5,1,3,21,1,1,1,6.2,0.36,Apartment,918493.83
Uptown,1600,3,3,2,2,0,0,1,9.87,0.76,Villa,973113.78
Suburban,1621,2,2,1,32,2,1,0,8.27,0.07,Apartment,771819.71
Hillview,3201,3,1,1,37,0,0,0,9.52,1.5,Townhouse,994974.11
Uptown,2131,4,1,3,12,2,0,1,9.84,0.53,Apartment,1057353.14
Riverside,2235,3,2,3,17,0,1,1,7.84,0.75,Villa,988094.15
Uptown,1123,5,3,1,22,0,1,0,10.0,1.19,Apartment,807216.38
Lakeview,1740,5,2,2,26,0,0,0,8.84,1.08,Apartment,929411.8
Uptown,2218,2,3,1,26,1,1,0,7.62,1.34,Apartment,856575.67
Uptown,1537,4,2,1,15,2,0,1,8.27,1.41,Condo,814433.02
Hillview,2599,2,3,2,34,1,0,0,5.97,0.32,Condo,1013984.86
Suburban,1439,5,3,2,32,0,0,0,5.06,0.62,Condo,781423.72
Uptown,1942,2,1,2,37,0,1,0,6.28,1.05,Townhouse,741899.71
Riverside,1778,2,1,2,23,0,0,1,7.17,0.12,Villa,821338.88
Old Town,2190,4,3,2,3,1,1,0,6.14,1.09,Apartment,915326.54
Riverside,1748,4,3,3,33,2,1,0,7.57,0.06,Condo,962770.59
Riverside,1951,1,1,1,3,2,0,1,8.29,1.38,Condo,795829.54
Suburban,1970,3,2,1,7,2,0,0,8.28,1.09,Villa,876701.37
Lakeview,1696,2,3,2,11,0,0,0,9.47,0.87,Apartment,862173.48
Suburban,2367,4,3,2,7,1,0,0,9.83,0.67,Villa,1088926.43
Downtown,2231,3,1,3,28,0,1,0,9.45,1.48,Villa,935553.44
Lakeview,2051,5,3,3,17,1,1,1,8.1,1.12,Condo,1034568.67
Old Town,1863,5,2,2,8,1,0,0,6.03,1.22,Apartment,850496.81
Old Town,2538,4,3,1,0,2,0,1,9.72,1.25,Townhouse,1042731.92
Uptown,1970,4,1,1,8,1,1,1,5.87,0.08,Condo,926571.6
Riverside,1931,5,2,2,27,0,1,0,5.76,0.13,Condo,922475.95
Downtown,2158,1,1,2,31,1,0,1,6.59,0.34,Apartment,812778.03
Uptown,3033,4,2,2,11,1,0,0,7.87,1.0,Villa,1220616.32
Suburban,1363,4,1,1,2,1,1,1,8.41,0.95,Villa,818579.36
Old Town,2523,1,2,3,22,0,1,0,5.07,0.52,Villa,904207.15
Lakeview,1059,5,3,2,31,1,1,0,8.89,1.46,Apartment,754274.01
Lakeview,2220,4,2,2,2,1,0,1,5.88,0.19,Apartment,1020403.88
Riverside,2966,2,1,1,31,2,0,1,6.48,1.18,Apartment,926862.4
Uptown,2369,3,2,3,6,2,0,1,6.61,0.75,Condo,1065204.04
Hillview,2194,3,2,2,10,0,1,0,6.66,0.66,Villa,962999.1
Old Town,1792,5,3,1,24,2,0,1,8.8,0.09,Apartment,898563.58
Downtown,2117,5,1,1,2,0,1,0,5.2,1.11,Condo,810584.33
Riverside,1961,5,1,2,12,2,1,1,5.98,1.17,Villa,968045.93
Hillview,1668,4,2,1,5,1,0,1,5.11,0.51,Villa,860180.62
Lakeview,1941,1,3,3,8,2,0,0,8.89,0.8,Apartment,983569.55
Downtown,2209,5,2,3,30,2,0,0,9.92,0.93,Villa,1088835.32
Uptown,1678,1,1,3,9,1,1,0,8.3,0.58,Townhouse,867320.01
Uptown,1657,1,1,2,1,1,1,0,7.95,0.94,Townhouse,773661.7
Lakeview,1352,1,3,2,8,2,1,1,9.54,0.68,Villa,964323.15
Riverside,2315,5,3,2,3,1,1,0,6.27,1.32,Townhouse,993347.48
Downtown,2400,3,1,2,24,1,0,1,5.33,1.09,Condo,873807.4
Suburban,2227,2,1,2,38,1,0,1,7.55,0.21,Condo,910959.59
Uptown,2631,1,1,2,6,1,0,0,6.3,1.21,Townhouse,908315.64
Lakeview,2148,3,2,3,29,0,1,0,7.26,0.54,Apartment,946425.63
Hillview,2316,4,3,1,14,0,0,1,7.28,1.41,Apartment,945920.55
Downtown,2267,5,1,1,2,2,0,0,6.59,0.92,Apartment,877028.45
Downtown,2050,3,3,3,27,1,1,0,7.43,0.09,Apartment,1024870.23
Old Town,1808,4,1,3,8,1,0,1,6.9,1.11,Townhouse,898288.5
Hillview,3318,5,3,3,20,0,1,0,5.57,0.24,Apartment,1244151.29
Downtown,1851,5,1,2,20,2,1,0,9.33,1.32,Apartment,838552.56
Hillview,1734,2,3,2,23,1,1,0,8.51,1.43,Townhouse,874034.71
Old Town,2339,5,2,1,5,0,1,1,5.21,1.06,Villa,883998.34
Downtown,2239,3,1,1,10,0,0,1,5.58,0.82,Condo,836922.67
Downtown,1327,5,1,3,29,1,1,1,5.48,0.92,Apartment,822174.03
Old Town,2717,1,3,2,37,1,1,1,5.31,0.67,Villa,976760.25
Uptown,2048,1,2,2,0,0,1,1,5.3,0.17,Apartment,818762.22
Uptown,1489,5,2,1,16,0,0,1,5.79,1.4,Townhouse,796977.36
Old Town,2754,4,3,2,35,0,0,0,9.24,0.53,Apartment,1018763.47
Riverside,2444,1,2,3,11,0,0,1,9.14,0.5,Apartment,1027654.28
Lakeview,1405,5,2,2,17,2,1,0,8.92,0.33,Townhouse,971334.68
Old Town,3077,1,2,2,36,1,0,1,8.07,1.49,Condo,977130.2
Riverside,2462,4,1,3,38,1,1,1,8.62,1.42,Townhouse,1004652.39
Old Town,2094,2,1,1,26,0,0,0,8.69,0.56,Condo,783293.89
Downtown,2975,1,1,1,27,1,1,1,9.45,0.43,Condo,1016110.85
Riverside,2188,5,2,2,24,2,1,1,8.66,1.22,Condo,1048512.29
Old Town,2085,5,2,2,11,2,0,1,8.68,0.66,Condo,997738.53
Lakeview,1737,1,3,3,35,1,1,0,9.02,1.45,Apartment,881884.03
Uptown,2420,1,3,1,1,0,0,1,7.78,1.36,Apartment,904478.25
Uptown,2362,4,1,1,2,1,0,1,6.07,1.15,Villa,985223.51
Old Town,2108,1,3,2,24,0,0,0,5.42,0.18,Townhouse,832258.36
Downtown,1666,4,3,2,33,0,0,0,7.1,1.07,Condo,820935.6
Riverside,2171,5,2,3,32,2,1,1,5.46,1.48,Apartment,919949.54
Lakeview,2062,4,2,2,27,2,1,0,5.85,0.59,Apartment,968419.65
Downtown,1367,2,1,2,15,2,1,0,5.12,1.33,Villa,698292.38
Lakeview,1291,1,1,1,14,1,1,1,6.5,0.64,Townhouse,694855.14
Hillview,2411,4,1,2,17,2,0,1,9.85,1.46,Condo,1038285.85
Suburban,669,1,2,2,10,1,0,0,6.89,1.0,Condo,516775.79
Uptown,2213,3,2,2,16,0,1,0,6.2,0.19,Townhouse,943852.58
Uptown,1837,3,1,2,4,0,0,0,7.02,0.74,Condo,868517.94
Downtown,2820,4,1,2,12,0,1,1,6.51,0.12,Villa,1082784.86
Downtown,1829,2,1,1,37,2,1,1,8.37,0.62,Townhouse,844566.99
Hillview,2463,4,2,1,28,0,1,0,8.17,1.38,Apartment,978832.25
Lakeview,1882,4,3,1,5,2,1,1,5.14,0.39,Townhouse,985525.33
Downtown,2163,2,2,2,11,2,1,1,7.56,1.43,Villa,962018.92
Hillview,2505,2,1,3,10,1,1,0,5.18,0.19,Condo,989825.37
Downtown,1846,1,1,3,11,2,0,1,8.39,1.01,Villa,945499.5
Hillview,2648,3,1,1,27,0,0,0,9.68,1.45,Villa,1003685.33
Hillview,1553,2,3,1,35,1,1,1,9.54,1.0,Villa,902691.26
Downtown,2262,1,3,2,28,0,1,0,6.03,1.35,Condo,761912.91
Hillview,2607,3,1,1,19,0,1,1,8.71,1.49,Condo,909654.89
Lakeview,2463,3,1,2,6,0,0,1,8.97,0.98,Villa,1039589.33
Lakeview,3154,1,1,2,5,2,1,1,9.32,1.18,Condo,1107537.82
Downtown,1680,1,3,3,32,2,1,1,6.3,0.1,Condo,807497.71
Suburban,1341,1,1,2,27,2,0,1,7.25,0.67,Condo,670039.54
Suburban,1553,4,3,3,20,2,0,0,6.11,0.47,Condo,890849.73
Old Town,2463,2,2,2,23,2,1,0,5.12,1.25,Villa,901007.88
Suburban,2374,1,1,3,33,2,0,1,8.3,1.03,Townhouse,914596.42
Uptown,2156,1,3,2,32,0,0,0,7.16,0.94,Villa,894316.62
Uptown,1482,5,2,2,3,2,0,1,6.24,1.4,Villa,925537.2
Uptown,2522,2,3,2,15,2,1,1,9.24,0.18,Villa,1151845.07
Suburban,1426,4,1,2,1,0,0,1,7.48,1.43,Apartment,758173.6
Downtown,2737,3,2,3,15,0,1,0,9.97,0.2,Apartment,1119502.86
Lakeview,3672,1,2,2,25,2,0,0,8.97,0.55,Condo,1200572.16
Riverside,2302,2,2,1,8,2,0,0,9.35,0.96,Apartment,885246.57
Hillview,2421,1,1,2,6,0,1,1,8.87,0.55,Townhouse,962655.75
Lakeview,1829,4,2,2,19,0,0,1,5.53,1.04,Condo,878255.52
Downtown,1104,2,3,2,20,1,1,1,5.33,1.17,Villa,725927.78
Downtown,1769,3,3,1,28,0,1,0,9.58,1.25,Villa,884316.99
Downtown,1499,1,1,1,0,2,1,0,5.69,0.31,Condo,708583.92
Suburban,1304,5,3,1,9,1,0,0,6.96,0.31,Condo,834550.82
Downtown,3047,2,3,2,31,0,0,0,8.05,0.13,Condo,1082816.29
Uptown,2250,3,1,1,27,2,1,1,6.06,0.76,Townhouse,879944.34
Hillview,2309,5,1,2,35,2,0,0,6.13,0.25,Condo,1000629.24
Lakeview,1930,4,3,1,32,2,0,1,7.33,0.51,Villa,1017450.55
Uptown,2005,4,1,1,33,2,0,0,6.8,1.27,Townhouse,826574.72
Lakeview,2631,5,1,1,20,0,0,1,8.38,1.43,Townhouse,969880.11
Suburban,2082,1,2,1,38,2,0,1,5.38,1.24,Condo,745560.88
Riverside,2392,5,2,1,16,2,1,0,7.44,0.05,Villa,1063747.88
Uptown,1992,3,2,3,36,2,0,1,5.87,0.87,Condo,893046.25
Suburban,1912,3,2,1,15,0,1,0,8.03,0.29,Townhouse,832523.02
Downtown,1326,2,3,2,17,1,1,0,5.58,0.59,Apartment,728355.18
Hillview,1012,4,3,2,27,2,0,0,5.99,0.67,Townhouse,756869.95
Uptown,1956,5,1,3,15,0,1,1,9.02,1.42,Condo,956877.09
Lakeview,2131,4,1,2,5,1,0,1,6.18,0.97,Villa,1013452.97
Lakeview,1393,1,1,2,35,2,0,0,8.69,0.44,Townhouse,815141.54
Downtown,2081,3,2,3,18,2,0,0,6.37,0.98,Condo,968848.8
Uptown,2130,4,2,3,37,1,1,1,6.18,1.43,Condo,954130.82
Uptown,914,2,3,1,15,2,1,1,6.5,0.14,Villa,787814.93
Hillview,1597,4,2,3,38,2,1,0,9.4,1.23,Condo,944126.11
Uptown,2324,4,1,2,24,2,1,0,6.99,0.36,Townhouse,976293.73
Uptown,2313,1,3,1,30,0,0,1,6.22,0.27,Townhouse,850302.45
Old Town,1465,3,1,2,30,0,1,1,7.68,1.35,Townhouse,685120.48
Downtown,2187,1,3,3,8,0,1,1,6.93,0.05,Villa,1061693.98
Old Town,2662,3,3,1,32,1,0,0,8.95,1.12,Villa,1018877.27
Suburban,2527,2,3,1,37,1,0,1,9.95,0.18,Apartment,943263.06
Downtown,2048,5,3,3,26,0,0,0,7.63,0.95,Condo,985374.78
Downtown,1843,5,1,2,37,2,0,1,7.26,0.95,Villa,927474.82
Hillview,1754,3,2,1,33,0,0,1,6.72,1.3,Townhouse,763642.49
Old Town,2357,3,2,3,26,2,1,0,9.87,1.24,Townhouse,1017458.93
Old Town,2207,4,2,2,19,1,0,0,7.42,1.04,Townhouse,945402.29
Uptown,2446,4,3,1,34,2,1,1,5.89,0.6,Condo,998807.34
Old Town,2173,4,2,1,7,0,1,0,9.85,0.29,Condo,919543.92
Hillview,2550,4,1,2,22,0,0,1,9.8,0.97,Apartment,1021406.46
Downtown,2152,5,3,1,32,2,1,0,7.18,0.77,Condo,939065.75
Uptown,2532,5,2,2,37,1,0,0,6.74,0.16,Apartment,1025473.84
Old Town,2579,1,3,1,10,1,0,1,8.4,1.44,Townhouse,943177.92
Suburban,1658,3,1,1,3,0,1,1,9.14,0.51,Townhouse,832057.27
Uptown,1106,3,3,3,13,2,1,0,7.49,0.05,Apartment,852584.63
Uptown,2949,3,1,1,34,0,0,0,6.65,1.36,Villa,908654.97
Downtown,2241,3,2,3,20,2,1,1,6.51,0.89,Condo,1009533.36
Suburban,1157,4,3,1,2,1,1,0,6.63,1.11,Apartment,733789.69
Downtown,1707,3,2,2,4,0,1,0,5.59,0.27,Apartment,816449.91
Suburban,2525,2,1,1,13,1,1,1,8.89,0.64,Apartment,923107.4
Downtown,1946,3,3,2,13,1,0,1,5.52,0.99,Apartment,843473.77
Hillview,1818,5,3,2,5,1,0,0,6.99,0.41,Townhouse,980340.31
Old Town,2870,2,1,1,19,2,0,0,9.17,1.07,Condo,886497.19
Lakeview,1524,1,1,2,19,1,1,0,7.02,0.39,Townhouse,775757.8
Uptown,1661,5,1,3,7,1,1,1,6.47,0.35,Villa,935874.51
Hillview,2216,1,1,2,9,1,1,0,9.74,0.07,Condo,988396.54
Old Town,2315,4,2,1,26,0,1,1,5.63,0.46,Villa,931570.54
Downtown,2373,5,1,3,38,2,1,1,9.42,0.41,Villa,1159056.09
Downtown,2601,2,3,1,39,0,0,0,5.31,1.16,Townhouse,819365.67
Hillview,2209,2,1,1,22,0,0,1,7.07,0.88,Apartment,812812.82
Downtown,2369,2,2,2,1,0,1,0,8.16,0.31,Villa,1055498.31
Downtown,1957,1,2,1,35,1,0,0,6.85,0.87,Condo,752353.39
Suburban,2134,1,2,1,38,1,1,1,7.67,0.38,Townhouse,852344.6
Lakeview,2159,1,1,3,11,2,0,1,6.02,0.67,Condo,925890.87
Old Town,2218,3,2,2,16,2,1,1,7.85,1.34,Condo,904659.75
Hillview,2525,3,2,3,1,2,1,1,5.67,1.09,Villa,1123328.45
Riverside,2405,1,2,2,32,0,1,0,8.98,0.99,Condo,830332.37
Suburban,2124,5,3,2,31,2,1,1,7.92,0.46,Condo,1081722.21
Riverside,1655,4,2,3,0,0,1,1,7.41,0.23,Townhouse,947391.25
Downtown,2137,1,2,1,28,0,1,1,5.27,1.14,Condo,762529.32
Uptown,2085,5,1,2,16,1,0,0,7.5,0.87,Townhouse,935762.29
Suburban,2206,1,1,3,21,1,1,1,7.82,0.95,Condo,843702.84
Riverside,3314,3,2,1,8,0,1,0,6.33,1.46,Apartment,1031765.37
Lakeview,1812,3,2,3,32,2,0,0,8.39,0.56,Villa,987057.49
Hillview,2332,3,3,1,16,0,0,0,5.38,1.21,Villa,920480.97
Old Town,2688,5,3,2,33,1,0,0,6.04,0.86,Apartment,1003717.12
Old Town,2154,5,1,3,5,1,1,0,8.69,0.39,Townhouse,1023768.78
Uptown,3386,2,2,1,23,1,1,1,5.74,0.13,Apartment,1058865.39
Suburban,1892,3,2,3,12,1,0,1,6.23,0.94,Apartment,867419.19
Hillview,2278,5,1,1,38,2,1,0,8.25,0.48,Condo,945488.73
Lakeview,1661,4,2,1,22,1,0,1,8.64,1.06,Apartment,871209.44
Hillview,1907,5,2,2,28,0,1,0,5.26,1.07,Condo,869348.67
Old Town,2237,3,1,2,3,2,0,0,5.63,0.71,Apartment,856724.94
Suburban,2565,2,2,3,27,2,0,0,7.23,0.83,Villa,1022491.21
Suburban,2276,3,3,3,4,0,0,1,7.96,0.96,Apartment,1040362.95
Lakeview,2793,5,1,3,14,2,0,0,7.27,0.73,Apartment,1116588.4
Old Town,2048,5,2,2,8,1,0,0,8.24,1.32,Condo,869424.67
Riverside,1917,4,1,1,0,0,1,1,8.78,0.16,Apartment,866209.85
Riverside,3587,4,1,3,23,0,0,1,9.75,1.47,Condo,1193808.82
Hillview,2317,3,3,2,9,2,0,0,6.75,0.1,Townhouse,1090699.56
Old Town,1704,2,2,1,20,0,1,0,5.82,0.35,Villa,743272.91
Hillview,1718,3,1,3,30,1,0,1,6.32,1.08,Condo,840178.14
Suburban,1582,3,2,2,7,2,0,0,5.74,0.17,Villa,870868.44
Hillview,2615,5,1,2,28,2,1,1,6.97,0.43,Villa,1145354.14
Old Town,1900,3,2,2,11,1,0,1,9.36,0.27,Villa,1009788.92
Lakeview,2170,4,1,3,13,2,1,0,6.74,1.1,Townhouse,1029134.08
Suburban,2065,1,2,1,23,0,0,1,5.74,0.89,Condo,695273.07
Suburban,2502,4,2,2,25,2,1,0,7.61,0.14,Townhouse,1052922.53
Old Town,1634,3,2,1,26,0,0,1,9.96,0.72,Villa,743853.01
Old Town,1508,5,2,2,7,0,1,0,5.94,0.35,Condo,787023.81
Hillview,2223,3,1,1,23,2,1,0,8.89,1.45,Townhouse,944664.56
Riverside,2431,3,1,2,10,2,1,1,9.12,0.21,Condo,1053634.6
Lakeview,2283,1,1,3,11,2,0,0,7.01,0.92,Villa,1006603.9
Old Town,1655,5,2,2,37,2,0,0,8.1,0.75,Apartment,859730.98
Downtown,2473,4,2,3,4,0,1,1,7.16,0.89,Condo,1079521.41
Downtown,1691,5,3,3,16,1,0,1,6.31,1.44,Townhouse,986410.84
Lakeview,1813,1,1,1,17,2,0,0,7.13,0.54,Villa,840126.4
Downtown,1581,2,1,2,9,1,1,0,5.48,1.14,Condo,710877.21
Lakeview,2816,5,3,2,31,0,0,1,8.53,0.7,Apartment,1080441.95
Suburban,2448,1,3,2,19,0,0,0,9.15,1.01,Condo,934894.34
Downtown,2433,3,3,3,28,2,1,1,6.54,0.58,Townhouse,1108820.06
Riverside,2786,3,1,2,15,2,1,0,7.83,0.38,Townhouse,1066696.49
Hillview,3647,5,1,1,35,0,1,1,6.16,0.17,Apartment,1128658.71
Riverside,1160,5,1,2,29,0,1,0,5.64,0.2,Apartment,711928.8
Uptown,1694,5,1,1,13,1,0,1,8.32,1.44,Townhouse,838689.09
Hillview,1761,2,3,2,38,0,0,0,5.67,1.19,Townhouse,780319.45
Riverside,1632,3,3,2,34,2,1,0,8.91,0.41,Apartment,890360.29
Hillview,1507,4,3,3,23,2,1,1,6.36,0.82,Townhouse,979306.29
Lakeview,1935,5,3,1,0,1,0,1,9.09,1.09,Townhouse,988784.2
Riverside,1431,1,2,2,23,2,1,0,6.84,0.56,Villa,806443.8
Suburban,2284,5,2,1,27,0,1,0,6.84,0.69,Townhouse,872897.79
Riverside,2128,2,3,2,14,2,0,1,8.75,1.09,Condo,946494.91
Uptown,2365,1,3,2,5,1,1,1,7.55,0.38,Villa,1073631.0
Suburban,2379,4,2,2,22,1,0,1,6.0,0.81,Apartment,900544.29
Lakeview,2432,4,3,1,32,0,0,0,9.25,0.35,Condo,1032446.06
Hillview,1895,1,2,1,12,0,1,1,6.7,0.05,Condo,811234.17
Hillview,3267,1,2,2,18,0,0,0,5.51,1.05,Villa,1009453.08
Riverside,2229,5,3,2,0,1,0,1,7.08,1.08,Villa,1097731.9
Lakeview,1076,5,2,1,28,0,1,0,7.87,1.49,Condo,710636.34
Downtown,1549,1,3,2,34,0,0,0,8.05,0.31,Apartment,769473.15
Riverside,1143,5,2,1,31,1,0,0,9.18,1.12,Villa,797521.06
Riverside,2110,5,1,2,17,2,1,1,7.71,1.42,Townhouse,1003280.52
Old Town,2033,5,1,2,1,0,0,1,6.12,0.98,Townhouse,866965.67
Old Town,1842,2,2,3,19,1,1,0,6.31,1.45,Townhouse,828392.18
Suburban,3206,3,2,3,37,2,0,0,5.5,1.49,Villa,1114359.65
Suburban,2402,5,2,3,3,1,1,1,8.68,1.21,Condo,1073388.31
Downtown,2499,5,3,1,8,0,0,0,5.53,1.5,Townhouse,905234.09
Hillview,1588,4,1,3,33,0,1,0,8.03,0.96,Townhouse,864813.05
Riverside,1550,1,1,2,22,2,1,0,7.98,0.77,Condo,783873.45
Old Town,2120,1,3,2,6,1,1,1,8.93,1.38,Apartment,900383.32
Hillview,2195,2,2,3,0,0,0,1,5.37,1.25,Townhouse,904814.42
Hillview,1079,1,2,1,16,2,0,1,6.01,0.21,Condo,709258.04
Old Town,2001,1,1,1,23,2,1,1,9.55,0.49,Townhouse,825243.25
Hillview,2108,1,2,3,33,2,0,1,7.86,0.43,Townhouse,936539.35
Hillview,1982,4,2,2,35,0,1,1,7.29,1.29,Villa,958407.6
Hillview,1653,3,2,2,18,0,1,0,8.74,0.39,Villa,890505.48
Hillview,1803,3,1,1,16,0,1,0,9.51,0.49,Townhouse,889458.21
Riverside,2003,5,2,2,37,0,0,1,6.32,0.8,Condo,895234.34
Suburban,2150,3,2,1,31,1,1,1,9.51,0.16,Villa,955905.02
Uptown,2433,3,1,2,8,1,1,1,5.54,1.44,Apartment,922024.0
Riverside,2694,2,1,2,27,2,0,0,9.89,0.76,Villa,1111517.96
Old Town,1938,3,3,3,28,0,1,0,5.82,0.33,Apartment,884440.18
Suburban,1849,1,3,3,9,2,0,0,6.33,0.44,Condo,890975.0
Old Town,2341,3,2,1,39,2,0,0,5.48,1.21,Townhouse,891008.85
Old Town,2436,5,3,1,11,0,0,1,9.02,0.97,Apartment,974819.53
Hillview,1861,3,3,2,21,1,1,0,9.92,0.72,Townhouse,1002925.37
Old Town,2535,2,1,3,19,1,1,0,6.48,0.53,Townhouse,922494.67
Riverside,2639,4,2,1,27,0,1,0,6.63,1.36,Townhouse,870952.03
Lakeview,2810,5,3,2,36,0,1,0,6.39,1.17,Townhouse,1079404.94
Old Town,3078,3,1,2,15,2,1,1,5.77,1.09,Condo,1019800.2
Uptown,1623,2,3,1,15,2,0,1,8.94,0.7,Condo,876171.59
Uptown,2108,4,1,2,30,1,0,0,5.3,1.47,Villa,835145.72
Old Town,2106,1,1,1,38,0,0,1,9.84,1.08,Apartment,740596.86
Lakeview,2046,5,2,2,36,0,1,1,9.64,0.66,Condo,982720.36
Downtown,1743,2,2,3,30,2,0,1,5.59,1.44,Townhouse,862158.36
Lakeview,1283,2,1,2,28,1,0,1,7.65,1.35,Apartment,731713.16
Uptown,2151,4,1,1,30,1,0,1,9.96,1.12,Townhouse,916692.27
Old Town,1677,1,2,3,37,0,1,1,9.26,1.16,Apartment,748164.53
Uptown,2147,2,1,1,0,2,1,0,8.58,0.66,Apartment,934251.23
Old Town,1663,1,3,3,23,1,1,1,5.11,0.79,Apartment,800162.8
Suburban,1495,2,3,3,1,1,0,1,5.34,0.33,Villa,884299.41
Uptown,2229,3,1,2,23,2,0,1,8.97,0.91,Apartment,999330.69
Suburban,2183,1,2,1,15,1,1,0,6.88,0.59,Condo,800021.54
Riverside,2419,2,1,3,12,2,0,1,8.34,0.55,Villa,1048307.32
Old Town,3302,4,2,3,35,1,1,1,8.7,1.42,Townhouse,1151517.45
Uptown,2253,5,3,2,28,1,1,0,7.11,0.29,Condo,1032845.02
Riverside,2367,1,1,3,22,2,0,1,5.72,1.25,Condo,907353.01
Old Town,1507,4,1,3,35,1,1,1,6.93,0.46,Condo,841203.98
Downtown,1392,1,1,3,3,2,0,1,9.36,0.09,Apartment,863147.76
Downtown,2971,3,3,1,25,0,0,1,6.66,0.11,Townhouse,1084908.12
Downtown,1592,5,1,2,6,2,1,1,5.31,0.67,Condo,859403.26
Downtown,1526,4,2,1,9,1,1,0,9.8,0.71,Apartment,821940.05
Lakeview,2078,2,2,1,7,0,0,1,8.4,0.51,Condo,855582.17
Uptown,2050,2,1,2,21,0,1,1,7.7,1.02,Condo,826344.0
Uptown,1604,4,1,1,25,2,1,0,9.15,0.75,Condo,803003.56
Downtown,1932,5,1,1,30,1,0,1,7.06,0.16,Villa,963797.79
Downtown,2776,2,3,3,17,2,1,0,9.93,0.55,Apartment,1180862.41
Suburban,1657,1,3,2,37,0,1,0,9.29,0.2,Townhouse,808269.63
Old Town,1333,3,3,2,14,0,0,1,6.4,0.14,Townhouse,814590.04
Riverside,2618,4,1,1,6,2,0,1,6.86,0.35,Townhouse,978683.32
Old Town,2371,3,2,3,1,1,1,0,6.38,1.07,Villa,998951.43
Suburban,1759,5,2,2,5,2,0,1,8.3,1.06,Apartment,974211.84
Uptown,1230,5,3,2,17,2,1,0,8.2,1.3,Condo,870398.99
Riverside,1690,4,1,1,16,1,1,0,7.61,1.15,Townhouse,840370.34
Downtown,2070,1,3,1,34,2,1,1,9.83,0.83,Condo,932840.12
Uptown,2741,5,1,1,5,2,0,0,7.36,0.5,Condo,1085228.15
Lakeview,1530,4,2,1,10,0,0,1,8.92,0.06,Villa,947772.37
Downtown,2054,2,3,3,39,0,1,0,8.29,0.99,Villa,962160.06
Old Town,2471,3,1,2,1,0,0,0,7.59,0.47,Condo,889374.71
